month,avg_temp,avg_feelslike,avg_humidity,avg_windspeed,diff
1,26.52,17.48,71.51,15.69,-9.04
2,26.75,17.53,67.95,16.4,-9.22
3,40.74,35.45,63.23,17.19,-5.3
4,49.65,46.63,61.05,17.88,-3.02
5,61.1,60.25,62.83,15.78,-0.85
6,72.69,73.08,62.14,15.02,0.39
7,77.16,78.11,64.68,13.93,0.95
8,76.0,76.67,64.85,14.07,0.67
9,69.09,69.25,66.32,14.78,0.16
10,54.26,52.57,67.83,15.58,-1.69
11,39.86,34.44,65.4,16.16,-5.42
12,35.32,29.03,70.25,15.92,-6.29
