month,avg_sunrisetime,avg_sunsettime,avg_daytime,agg_solar_energy
1,7.22,16.76,9.54,527.4
2,6.76,17.38,10.61,836.1
3,6.66,18.63,11.97,1201.6
4,6.15,19.53,13.38,1436.1
5,5.5,20.07,14.57,1599.1
6,5.26,20.43,15.17,2121.2
7,5.5,20.36,14.86,1758.0
8,5.99,19.8,13.81,1788.3
9,6.51,18.97,12.46,1259.5
10,7.06,18.12,11.06,911.6
11,6.76,16.59,9.82,622.1
12,7.17,16.36,9.19,517.7
