month,avg_sunrisetime,avg_sunsettime,avg_daytime,agg_solar_energy
1,7.22,16.77,9.55,137.4
2,6.76,17.38,10.62,244.7
3,6.57,18.55,11.98,317.8
4,6.15,19.53,13.39,283.5
5,5.5,20.08,14.58,312.1
6,5.26,20.43,15.17,314.4
7,5.5,20.36,14.86,290.3
8,5.99,19.79,13.8,246.9
9,6.52,18.97,12.45,168.5
10,7.07,18.12,11.05,94.3
11,6.88,16.7,9.82,99.5
12,7.18,16.36,9.19,82.2
