,datetime,month,windspeed,winddir
4177,2021-06-09,6,12.0,74.7
4178,2021-06-10,6,10.8,73.9
4179,2021-06-11,6,9.6,70.6
4180,2021-06-12,6,14.0,45.8
4181,2021-06-13,6,10.2,47.6
4182,2021-06-14,6,16.5,16.0
4183,2021-06-15,6,15.1,31.2
4184,2021-06-16,6,11.6,35.8
4185,2021-06-17,6,15.9,195.6
4186,2021-06-18,6,15.9,242.7
4187,2021-06-19,6,19.6,241.0
4188,2021-06-20,6,12.7,192.7
4189,2021-06-21,6,18.7,312.9
4190,2021-06-22,6,16.2,255.6
4191,2021-06-23,6,22.4,198.6
4192,2021-06-24,6,18.2,190.9
4193,2021-06-25,6,18.7,194.2
4194,2021-06-26,6,16.1,208.7
4195,2021-06-27,6,20.4,230.1
4196,2021-06-28,6,8.8,109.5
4197,2021-06-29,6,12.5,228.5
4198,2021-06-30,6,8.4,224.0
4199,2021-07-01,7,19.6,24.9
4200,2021-07-02,7,10.2,21.9
4201,2021-07-03,7,14.5,284.2
4202,2021-07-04,7,13.5,260.9
4203,2021-07-05,7,19.4,244.9
4204,2021-07-06,7,15.3,239.6
4205,2021-07-07,7,14.8,250.5
4206,2021-07-08,7,11.5,18.1
4207,2021-07-09,7,11.1,33.9
4208,2021-07-10,7,13.4,86.0
4209,2021-07-11,7,18.2,57.2
4210,2021-07-12,7,9.9,60.0
4211,2021-07-13,7,9.9,270.0
4212,2021-07-14,7,14.2,207.2
4213,2021-07-15,7,16.5,237.0
4214,2021-07-16,7,14.4,27.5
4215,2021-07-17,7,15.6,24.9
4216,2021-07-18,7,12.5,48.5
4217,2021-07-19,7,10.9,63.6
4218,2021-07-20,7,15.2,342.9
4219,2021-07-21,7,11.9,36.6
4220,2021-07-22,7,10.1,161.5
4221,2021-07-23,7,12.9,227.5
4222,2021-07-24,7,18.1,232.7
4223,2021-07-25,7,11.0,306.6
4224,2021-07-26,7,10.7,297.9
4225,2021-07-27,7,15.5,248.3
4226,2021-07-28,7,11.5,242.9
4227,2021-07-29,7,18.7,332.9
4228,2021-07-30,7,17.8,32.2
4229,2021-07-31,7,11.6,281.4
4230,2021-08-01,8,16.4,17.8
4231,2021-08-02,8,9.2,51.1
4232,2021-08-03,8,8.0,82.9
4233,2021-08-04,8,8.8,95.8
4234,2021-08-05,8,12.7,200.3
4235,2021-08-06,8,16.8,220.9
4236,2021-08-07,8,12.1,205.2
4237,2021-08-08,8,18.9,198.3
4238,2021-08-09,8,16.5,192.6
4239,2021-08-10,8,31.0,230.0
4240,2021-08-11,8,21.6,214.5
4241,2021-08-12,8,21.2,234.4
4242,2021-08-13,8,9.6,7.9
4243,2021-08-14,8,10.7,50.5
4244,2021-08-15,8,12.6,93.9
4245,2021-08-16,8,11.9,79.7
4246,2021-08-17,8,10.4,79.2
4247,2021-08-18,8,12.5,81.4
4248,2021-08-19,8,9.7,80.3
4249,2021-08-20,8,11.5,140.0
4250,2021-08-21,8,14.9,196.4
4251,2021-08-22,8,13.4,29.2
4252,2021-08-23,8,11.9,209.2
4253,2021-08-24,8,17.8,216.1
4254,2021-08-25,8,13.5,204.1
4255,2021-08-26,8,12.2,160.4
4256,2021-08-27,8,11.5,194.1
4257,2021-08-28,8,14.8,208.4
4258,2021-08-29,8,20.3,228.7
4259,2021-08-30,8,11.6,59.1
4260,2021-08-31,8,14.7,66.4
4261,2021-09-01,9,17.3,47.1
4262,2021-09-02,9,12.2,86.4
4263,2021-09-03,9,12.1,149.6
4264,2021-09-04,9,13.6,214.2
4265,2021-09-05,9,16.5,279.8
4266,2021-09-06,9,11.5,82.6
4267,2021-09-07,9,26.0,225.2
4268,2021-09-08,9,19.1,301.0
4269,2021-09-09,9,8.8,14.7
4270,2021-09-10,9,11.8,215.2
4271,2021-09-11,9,16.5,212.7
4272,2021-09-12,9,15.7,236.5
4273,2021-09-13,9,13.1,167.9
4274,2021-09-14,9,20.0,249.0
4275,2021-09-15,9,11.4,31.7
4276,2021-09-16,9,12.6,144.3
4277,2021-09-17,9,14.6,222.5
4278,2021-09-18,9,14.2,36.7
4279,2021-09-19,9,11.2,109.1
4280,2021-09-20,9,17.3,179.4
4281,2021-09-21,9,17.7,318.1
4282,2021-09-22,9,22.9,353.5
4283,2021-09-23,9,16.8,322.9
4284,2021-09-24,9,19.9,221.4
4285,2021-09-25,9,16.2,272.4
4286,2021-09-26,9,19.2,219.1
4287,2021-09-27,9,16.4,249.1
4288,2021-09-28,9,13.6,59.6
4289,2021-09-29,9,10.9,83.7
4290,2021-09-30,9,11.6,85.6
4291,2021-10-01,10,10.2,156.8
4292,2021-10-02,10,12.9,198.6
4293,2021-10-03,10,12.4,247.8
4294,2021-10-04,10,16.6,4.2
4295,2021-10-05,10,15.4,41.3
4296,2021-10-06,10,12.1,69.5
4297,2021-10-07,10,10.4,118.0
4298,2021-10-08,10,9.5,238.4
4299,2021-10-09,10,10.2,144.7
4300,2021-10-10,10,17.3,187.4
4301,2021-10-11,10,15.9,183.8
4302,2021-10-12,10,14.2,234.4
4303,2021-10-13,10,13.9,155.1
4304,2021-10-14,10,13.2,223.5
4305,2021-10-15,10,13.7,325.9
4306,2021-10-16,10,16.7,288.3
4307,2021-10-17,10,13.5,278.2
4308,2021-10-18,10,9.4,213.7
4309,2021-10-19,10,13.6,208.3
4310,2021-10-20,10,13.8,196.4
4311,2021-10-21,10,16.6,276.5
4312,2021-10-22,10,9.8,325.8
4313,2021-10-23,10,8.0,357.6
4314,2021-10-24,10,21.3,72.7
4315,2021-10-25,10,32.1,38.1
4316,2021-10-26,10,11.2,8.5
4317,2021-10-27,10,14.3,115.1
4318,2021-10-28,10,13.6,94.9
4319,2021-10-29,10,22.5,19.7
4320,2021-10-30,10,17.7,11.2
4321,2021-10-31,10,18.1,301.9
4322,2021-11-01,11,15.1,277.1
4323,2021-11-02,11,11.5,285.8
4324,2021-11-03,11,7.8,311.7
4325,2021-11-04,11,9.9,232.1
4326,2021-11-05,11,12.6,198.2
4327,2021-11-06,11,14.7,209.0
4328,2021-11-07,11,16.8,209.0
4329,2021-11-08,11,13.4,217.5
4330,2021-11-09,11,13.4,28.6
4331,2021-11-10,11,13.5,111.3
4332,2021-11-11,11,19.4,210.4
4333,2021-11-12,11,20.4,235.5
4334,2021-11-13,11,15.7,270.3
4335,2021-11-14,11,22.5,276.6
4336,2021-11-15,11,10.8,267.3
4337,2021-11-16,11,15.7,144.2
4338,2021-11-17,11,15.6,244.7
4339,2021-11-18,11,22.1,278.5
4340,2021-11-19,11,13.9,210.8
4341,2021-11-20,11,14.2,201.9
